gloss	synset	lemma	word
change clothes; put on different clothes		change	changed
undergo a change; become different in essence; losing one's or its original nature	바뀌다 변하다 변화하다	change	changed
become less intense		flag	flag
communicate or signal with a flag		flag	flag
after the expected or usual time; delayed		late	late
having died recently		late	late
a formal party of people; as after a wedding		reception	reception
quality or fidelity of a received broadcast		reception	reception
(American football) the act of catching a pass in football		reception	reception
(music) a series of notes differing in pitch according to a specific scheme (usually within an octave)	음계 스케일 온음계와_반음계 한국음계 음악_규모	scale	scales
a flattened rigid plate forming part of the body covering of many animals	비늘	scale	scales
relative magnitude		scale	scale
a measuring instrument for weighing; shows amount of mass	저울 계량기 형기 기계의_무게	scale	scale
a natural event that involves a change in the position or location of something	운동 운신	motion	motions
a formal proposal for action made to a deliberative assembly for discussion and vote	동의 발의 제의	motion	motions
perform as expected when applied	실행할	operate	operating
perform surgery on		operate	operating
find the solution to (a problem or question) or understand the meaning of	해결하다 가동하 해결하기	lick	lick
take up with the tongue		lick	lick
a structure consisting of a room or set of rooms at a single position along a vertical scale	층 건물의_층_세는_법 충계	story	story
a piece of fiction that narrates a chain of related events		story	story
place in a line or arrange so as to be parallel or straight		align	align
align oneself with a group or a way of thinking		align	align
very drunk	무거운_짐	load	loaded
filled with a great quantity		load	loaded
a perceptible indication of something not immediately apparent (as a visible clue that something has happened)	싹 싹수 전조 조짐 증거 증상 징조 징후	sign	signs
structure displaying a board on which advertisements can be posted	간판	sign	signs
call for and obtain payment of	수집	collect	collect
assemble or get together	수집	collect	collect
a string of words satisfying the grammatical rules of a language	문장 센텐스 글토막 문장론 월 겹문장 홑문장 글발	sentence	sentence
the period of time a prisoner is imprisoned	때 사이 시간 시기 시일 시절 일월 형기 감옥_용어	sentence	sentence
draw something in by or as if by a vacuum		suck	sucked
be inadequate or objectionable		suck	sucked
any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails	쥐 생쥐속 마우스 다람쥐	mouse	mouse
a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad	마우스 컴퓨터_마우스 다람쥐 디스플레이_시스템을_위한_xy_위치_지시기 디스플레이시스템을위한xy위치지시기 마우스_입력 마우스볼 시리얼_마우스 직렬_마우스 직렬식_마우스	mouse	mouse
support consisting of a place to rest the foot while ascending or descending a stairway	계단 단 계단의	step	steps
any maneuver made as part of progress toward a goal	걸음 조처 조치 처분	step	steps
a flight of stairs or a flight of steps		step	steps
a flour mixture stiff enough to knead or roll	반죽 반죽하기 도 베터	dough	dough
informal terms for money	금전 조개 금 금속 gelt moolah simoleons 세겔 전해	dough	dough
