instance numbers	homonym (lemma)	pos	Main sentence	gloss 1	gloss 2	EN synset 1	EN synset 2	Target synset 1	Target synset 2	example sentence 1	example sentence 2	example translation 1	example translation 2	F1	F2	homonym label
318 319 320 321 322 323	snort	v	He snorted and heard a loud noise from outside.	make a snorting sound by exhaling hard	inhale recreational drugs	snort	huff snort			He snorted in disbelief at the news.	He was caught snorting powder in the bathroom.	اس نے خبر سن کر بے یقینی سے پھنکارا۔	وہ باتھ روم میں پاؤڈر سونگھتے ہوئے پکڑا گیا۔	*پھنکارا	*سونگھتے	D
324 325 326 327 328 329	snort	v	"When he leaned over the table and snorted loudly, everyone turned to look at him in shock."	make a snorting sound by exhaling hard	inhale recreational drugs	snort	huff snort			He snorted in disbelief at the news.	He was caught snorting powder in the bathroom.	اس نے خبر سن کر بے یقینی سے پھنکارا۔	وہ باتھ روم میں پاؤڈر سونگھتے ہوئے پکڑا گیا۔	*پھنکارا	*سونگھتے	D
330 331 332 333 334 335	bank	n	He would wait for her near the bank.	sloping land (especially the slope beside a body of water)	a building in which the business of banking transacted	bank riverbank beach coast riverside shore stream-bank left bank river banks riverbanks stream bank stream banks stream side streambank streambanks streamside the riverbank	bank bank building			The children played near the riverbank.	She visited the bank to deposit money.	بچے دریا کے کنارے کے قریب کھیلے۔	اس نے رقم جمع کروانے کے لیے بینک کا دورہ کیا۔	کنارے	بینک	D
336 337 338 339 340 341	bank	n	Joe was to meet Peter at the bank that morning.	sloping land (especially the slope beside a body of water)	a building in which the business of banking transacted	bank riverbank beach coast riverside shore stream-bank left bank river banks riverbanks stream bank stream banks stream side streambank streambanks streamside the riverbank	bank bank building			The children played near the riverbank.	She visited the bank to deposit money.	بچے دریا کے کنارے کے قریب کھیلے۔	اس نے رقم جمع کروانے کے لیے بینک کا دورہ کیا۔	کنارے	بینک	D
342 343 344 345 346 347	pay	v	The goons made the man pay.	"give money, usually in exchange for goods or services"	"bear (a cost or penalty), in recompense for some action"	pay	pay	ادا کرنا قیمت دینا ویتن دینا		I need to pay for the groceries.	He must pay for his reckless behavior.	مجھے خریداری کے لئے ادائیگی کرنے کی ضرورت ہے.	اسے اپنے لاپرواہ رویے کا خمیازہ بھگتنا پڑے گا	ادائیگی	*بھگتنا	D
348 349 350 351 352 353	peach	n	That peach over there is grabbing her attention.	downy juicy fruit with sweet yellowish or whitish flesh	a very attractive or seductive looking woman	peach	stunner smasher ravisher mantrap knockout beauty sweetheart peach lulu looker dish			She enjoyed a ripe peach for dessert.	She was a knockout at the party.	اس نے میٹھے میں پکے ہوئے آڑو کا لطف اٹھایا۔	وہ پارٹی میں بہت حسین لگ رہی تھی۔	*آڑو	*حسین	D
354 355 356 357 358 359	flexible	a	"To succeed in this position, one needs to be flexible."	capable of being changed	able to flex; able to bend easily	flexible	flexible flexile			She has a flexible work schedule.	The flexible branches swayed in the breeze.	اس کے پاس کام کرنے کا ایک لچکدار شیڈول ہے۔	لچکدار شاخیں ہوا میں لہرا رہی تھیں۔	لچکدار	*لچکدار	N
360 361 362 363 364 365	flexible	a	They are quite flexible when going to the gym.	capable of being changed	able to flex; able to bend easily	flexible	flexible flexile			She has a flexible work schedule.	The flexible branches swayed in the breeze.	اس کے پاس کام کرنے کا ایک لچکدار شیڈول ہے۔	لچکدار شاخیں ہوا میں لہرا رہی تھیں۔	لچکدار	*لچکدار	N
366 367 368 369 370 371	flexible	a	They chose her for the role because she was incredibly flexible.	capable of being changed	able to flex; able to bend easily	flexible	flexible flexile			She has a flexible work schedule.	The flexible branches swayed in the breeze.	اس کے پاس کام کرنے کا ایک لچکدار شیڈول ہے۔	لچکدار شاخیں ہوا میں لہرا رہی تھیں۔	لچکدار	*لچکدار	N
372 373 374 375 376 377	flexible	a	"At times, she can be flexible."	capable of being changed	able to flex; able to bend easily	flexible	flexible flexile			She has a flexible work schedule.	The flexible branches swayed in the breeze.	اس کے پاس کام کرنے کا ایک لچکدار شیڈول ہے۔	لچکدار شاخیں ہوا میں لہرا رہی تھیں۔	لچکدار	*لچکدار	N
378 379 380 381 382 383	vision	n	Alex found it hard to clear his vision.	the ability to see; the visual faculty	the formation of a mental image of something that is not perceived as real and is not present to the senses	sight vision visual sense visual modality	imagination vision imaginativeness eyesight sight			Her vision is clearer with glasses.	Her vision of the future inspired everyone.	عینک لگانے سے اس کی نظر صاف ہو جاتی ہے۔	مستقبل کے بارے میں اس کے تصور نے سب کو متاثر کیا	*نظر	*تصور	D
384 385 386 387 388 389	vision	n	He had a very clear vision.	the ability to see; the visual faculty	the formation of a mental image of something that is not perceived as real and is not present to the senses	sight vision visual sense visual modality	imagination vision imaginativeness eyesight sight			Her vision is clearer with glasses.	Her vision of the future inspired everyone.	عینک لگانے سے اس کی نظر صاف ہو جاتی ہے۔	مستقبل کے بارے میں اس کے تصور نے سب کو متاثر کیا	*نظر	*تصور	D
390 391 392 393 394 395	pick	v	Harry had a bad tendency to pick without discernment or discrimination.	select carefully from a group	harass with constant criticism	pick	blame find fault pick			She had to pick a winner.	Stop picking on your classmates.	اسے ایک فاتح منتخب کرنا پڑا۔	اپنے ہم جماعتوں کو تنگ کرنا بند کرو۔	منتخب	*تنگ	D
396 397 398 399 400 401	pick	v	He didn't know what she was going to pick.	select carefully from a group	pull lightly but sharply with a plucking motion	pick	pluck plunk pick			She had to pick a winner.	She will pick a string gently.	اسے ایک فاتح منتخب کرنا پڑا۔	وہ آہستہ سے ایک تار چھیڑے گی۔	منتخب	*چھیڑے	D
402 403 404 405 406 407	pick	v	She had to pick the fruit from the tree before it fell.	select carefully from a group	pull lightly but sharply with a plucking motion	pick	pluck plunk pick			She had to pick a winner.	She will pick a string gently.	اسے ایک فاتح منتخب کرنا پڑا۔	وہ آہستہ سے ایک تار چھیڑے گی۔	منتخب	*چھیڑے	D
408 409 410 411 412 413	croak	v	The frog began to croak.	pass from physical life and lose all bodily attributes and functions necessary to sustain life	"utter a hoarse sound, like a raven"	die decease perish go exit pass away expire pass kick the bucket cash in one's chips buy the farm conk give-up the ghost drop dead pop off choke croak snuff it cease to be demise go to meet ones maker join the choir invisible pass on ring down the curtain	croak cronk			He feared he might croak soon.	The raven began to croak loudly.	اسے ڈر تھا کہ وہ جلد ہی مر جائے گا۔	کوّے نے زور سے کائیں کائیں کرنا شروع کر دی۔	*مر	*کائیں کائیں	D
414 415 416 417 418 419	croak	v	The boy thought his father had croaked.	pass from physical life and lose all bodily attributes and functions necessary to sustain life	make complaining remarks or noises under one's breath	die decease perish go exit pass away expire pass kick the bucket cash in one's chips buy the farm conk give-up the ghost drop dead pop off choke croak snuff it cease to be demise go to meet ones maker join the choir invisible pass on ring down the curtain	mutter grumble murmur croak gnarl			He feared he might croak soon.	She always croaks about her workload.	اسے ڈر تھا کہ وہ جلد ہی مر جائے گا۔	وہ ہمیشہ اپنے کام کے بوجھ کے بارے میں شکایت کرتی ہے۔	*مر	*شکایت	D
420 421 422 423 424 425	pile	n	There was a good pile on it.	the yarn (as in a rug or velvet or corduroy) that stands up from the weave	a large sum of money (especially as pay or profit)	pile nap cut pile emerizing loop pile napped fabrics pile depth pile length sueding	megabucks big money pile bundle big bucks			The rug's pile is soft and lush.	He earned a nice pile selling stocks.	قالین کا ڈھیر نرم اور زرخیز ہے۔	اس نے اسٹاک بیچ کر ایک اچھا ڈھیر کمایا۔	ڈھیر	ڈھیر	N
426 427 428 429 430 431	pile	n	The workers moved the pile quickly to clear the area.	the yarn (as in a rug or velvet or corduroy) that stands up from the weave	a large sum of money (especially as pay or profit)	pile nap cut pile emerizing loop pile napped fabrics pile depth pile length sueding	megabucks big money pile bundle big bucks			The rug's pile is soft and lush.	He earned a nice pile selling stocks.	قالین کا ڈھیر نرم اور زرخیز ہے۔	اس نے اسٹاک بیچ کر ایک اچھا ڈھیر کمایا۔	ڈھیر	ڈھیر	N
432 433 434 435 436 437	rare	a	"Well, this particular steak has to be rare."	(of meat) cooked a short time; still red inside	recurring only at long intervals					I prefer my steak cooked rare.	A rare comet will pass by soon.	میں اپنا سٹیک ادھ پکا پسند کرتا ہوں۔	ایک نایاب سیارہ جلد ہی گزر جائے گا.	*ادھ پکا	نایاب	D
438 439 440 441 442 443	rare	a	"At the festival, she had a rare treat that she didn't come across very often."	(of meat) cooked a short time; still red inside	recurring only at long intervals					I prefer my steak cooked rare.	A rare comet will pass by soon.	میں اپنا سٹیک ادھ پکا پسند کرتا ہوں۔	ایک نایاب سیارہ جلد ہی گزر جائے گا.	*ادھ پکا	نایاب	D
444 445 446 447 448 449	rare	a	He had waited a long time to have this rare beef.	(of meat) cooked a short time; still red inside	recurring only at long intervals					I prefer my steak cooked rare.	A rare comet will pass by soon.	میں اپنا سٹیک ادھ پکا پسند کرتا ہوں۔	ایک نایاب سیارہ جلد ہی گزر جائے گا.	*ادھ پکا	نایاب	D
450 451 452 453 454 455	bill	n	The bill made contact with the table in a quick manner.	an itemized statement of money owed for goods shipped or services rendered	horny projecting mouth of a bird	bill invoice account note receipt balance due collective invoicing debit memo evaluated receipts settlement invoiced invoices invoicing invoicing bureau payment of bills utility bill	beak bill neb nib pecker rostrum	بل	چونچ	She received the bill yesterday.	The bird used its bill to forage.	اسے کل بل موصول ہوا۔	پرندے نے خوراک تلاش کرنے کے لیے اپنی چونچ کا استعمال کیا۔	بل	*چونچ	D
456 457 458 459 460 461	up	a	"By 6 a.m., she was already up and ready for the big exam."	out of bed	(usually followed by 'on' or 'for') in readiness					Get up and start your day.	She was up on her studies.	اٹھو اور اپنا دن شروع کرو۔	وہ اپنی پڑھائی کے لیے تیار تھی۔	اٹھو	*تیار	D
462 463 464 465 466 467	up	a	He was up and eager to take on the day.	out of bed	(usually followed by 'on' or 'for') in readiness					Get up and start your day.	She was up on her studies.	اٹھو اور اپنا دن شروع کرو۔	وہ اپنی پڑھائی کے لیے تیار تھی۔	اٹھو	*تیار	D
468 469 470 471 472 473	point	n	He got to the point.	a brief version of the essential meaning of something	sharp end	point	point			Make your point clearly and concisely.	He carefully carved the point of the stick.	اپنے خیال کو واضح اور مختصر طور پر بیان کریں۔	اس نے چھڑی کی نوک کو احتیاط سے کندہ کیا۔	خیال	نوک	D
474 475 476 477 478 479	point	n	He took a long time to reach the point.	sharp end	a brief version of the essential meaning of something	point	point			He carefully carved the point of the stick.	Make your point clearly and concisely.	اس نے چھڑی کی نوک کو احتیاط سے کندہ کیا۔	اپنے خیال کو واضح اور مختصر طور پر بیان کریں۔	نوک	خیال	D
480 481 482 483 484 485	point	n	"He did bring a knife, but there was no point."	the object of an activity	sharp end	point	point			What is the point of this meeting?	He carefully carved the point of the stick.	اس ملاقات کا مقصد کیا ہے؟	اس نے چھڑی کی نوک کو احتیاط سے کندہ کیا۔	مقصد	نوک	D
486 487 488 489 490 491	point	n	They tried their hardest to avoid the point.	sharp end	a brief version of the essential meaning of something	point	point			He carefully carved the point of the stick.	Make your point clearly and concisely.	اس نے چھڑی کی نوک کو احتیاط سے کندہ کیا۔	اپنے خیال کو واضح اور مختصر طور پر بیان کریں۔	نوک	خیال	D
492 493 494 495 496 497	plant	n	The guy in the crowd appeared to be next to a plant.	an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience	(botany) a living organism lacking the power of locomotion	plant	"plant flora plant life plant species vegetation green plant green plants kingdom plantae planta plantae plants antigens, plant external factors plant florae floras floræ kinds of plants kingdom vegetable mazonipterus metaphyta phyto plant-life plant cultivation plant diversity plant product plant production plantes plantæ platn simple plants vegetabilia"		نباتات نبات نباتي نباتياتي نباتی نباتیاتی پودا پودوں پودہ پودے	The comedian used a plant in the crowd.	The garden has a beautiful plant.	کامیڈین نے مجمع میں اپنے آدمی کا استعمال کیا۔	باغ میں ایک خوبصورت پودہ ہے.	*آدمی	پودہ	D
498 499 500 501 502 503	plant	n	He could see a plant from his window.	an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience	(botany) a living organism lacking the power of locomotion	plant	"plant flora plant life plant species vegetation green plant green plants kingdom plantae planta plantae plants antigens, plant external factors plant florae floras floræ kinds of plants kingdom vegetable mazonipterus metaphyta phyto plant-life plant cultivation plant diversity plant product plant production plantes plantæ platn simple plants vegetabilia"		نباتات نبات نباتي نباتياتي نباتی نباتیاتی پودا پودوں پودہ پودے	The comedian used a plant in the crowd.	The garden has a beautiful plant.	کامیڈین نے مجمع میں اپنے آدمی کا استعمال کیا۔	باغ میں ایک خوبصورت پودہ ہے.	*آدمی	پودہ	D
504 505 506 507 508 509	plant	n	The plant in the theatre went unnoticed.	an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience	(botany) a living organism lacking the power of locomotion	plant	"plant flora plant life plant species vegetation green plant green plants kingdom plantae planta plantae plants antigens, plant external factors plant florae floras floræ kinds of plants kingdom vegetable mazonipterus metaphyta phyto plant-life plant cultivation plant diversity plant product plant production plantes plantæ platn simple plants vegetabilia"		نباتات نبات نباتي نباتياتي نباتی نباتیاتی پودا پودوں پودہ پودے	The comedian used a plant in the crowd.	The garden has a beautiful plant.	کامیڈین نے مجمع میں اپنے آدمی کا استعمال کیا۔	باغ میں ایک خوبصورت پودہ ہے.	*آدمی	پودہ	D
510 511 512 513 514 515	picture	n	The picture she presented at the meeting was both striking and thought-provoking.	a visual representation (of an object or scene or person or abstraction) produced on a surface	a situation treated as an observable object	image picture icon ikon design drawing figure illustration map pattern portraiture images graphic imake 2d image optical image piccas pictorial pictorial script pictorial work pictorial works picture! picture function pictures pikturs pitcure still image three-dimensional images volatile image 🖼 🖼️	picture scene	تصویر image تصوير		She shared a beautiful picture of the sunset.	The economic picture is improving steadily.	انہوں نے غروب آفتاب کی ایک خوبصورت تصویر شیئر کی.	معاشی صورت حال میں مسلسل بہتری آرہی ہے۔	تصویر	صورت حال	D
516 517 518 519 520 521	picture	v	He pictured all of them together.	imagine; conceive of; see in one's mind	"show in, or as in, a picture"	envision fancy picture visualize visualise project see figure image	picture depict render show			I can picture our future together.	The mural will picture a peaceful landscape.	میں ہمارے اکٹھے مستقبل کا تصور کر سکتا ہوں۔ 	میورل ایک پر سکون منظر کی عکاسی کرے گا۔	تصور	*عکاسی	D
522 523 524 525 526 527	goal	n	He was successful in achieving his goal in the match.	the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it	a successful attempt at scoring	goal end goal-like entity aim goals goal displacement goal management in organizations long-term goal long term goal personal goals primary objective short-term goal short term goal subgoal	goal garbage goal hockey goal	مقصد ہدف		Achieving your goal is essential for success.	She scored the winning goal yesterday.	اپنے مقصد کو حاصل کرنا کامیابی کے لیے ضروری ہے	انہوں نے کل جیت کا گول کیا.	مقصد	گول	D
528 529 530 531 532 533	goal	n	The goalkeeper had reached his goal.	the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it	a successful attempt at scoring	goal end goal-like entity aim goals goal displacement goal management in organizations long-term goal long term goal personal goals primary objective short-term goal short term goal subgoal	goal garbage goal hockey goal	مقصد ہدف		Achieving your goal is essential for success.	She scored the winning goal yesterday.	اپنے مقصد کو حاصل کرنا کامیابی کے لیے ضروری ہے	انہوں نے کل جیت کا گول کیا.	مقصد	گول	D
534 535 536 537 538 539	goal	n	"After years of hard work, his goal finally came in the last minute."	the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it	a successful attempt at scoring	goal end goal-like entity aim goals goal displacement goal management in organizations long-term goal long term goal personal goals primary objective short-term goal short term goal subgoal	goal garbage goal hockey goal	مقصد ہدف		Achieving your goal is essential for success.	She scored the winning goal yesterday.	اپنے مقصد کو حاصل کرنا کامیابی کے لیے ضروری ہے	انہوں نے کل جیت کا گول کیا.	مقصد	گول	D
540 541 542 543 544 545	log	n	"Some wood had gone missing from the warehouse, and John was desperately trying to locate the logs."	a segment of the trunk of a tree when stripped of branches	a written record of messages sent or received	log	log			The firewood was made from a log.	Please update the log daily.	یہ لکڑی ایک لٹھے سے کاٹی گئی تھی۔	براہ کرم روزانہ ریکارڈ اپ ڈیٹ کریں۔	*لٹھے	*ریکارڈ	D
546 547 548 549 550 551	log	n	They discovered an old log near the shore that revealed a lot about the past.	a segment of the trunk of a tree when stripped of branches	a written record of events on a voyage (of a ship or plane)	log	log			The firewood was made from a log.	The captain maintained a detailed log.	یہ لکڑی ایک لٹھے سے کاٹی گئی تھی۔	براہ کرم روزانہ ریکارڈ اپ ڈیٹ کریں۔	*لٹھے	*ریکارڈ	D
552 553 554 555 556 557	log	n	She enjoys her collection of logs.	a segment of the trunk of a tree when stripped of branches	a written record of events on a voyage (of a ship or plane)	log	log			The firewood was made from a log.	The captain maintained a detailed log.	یہ لکڑی ایک لٹھے سے کاٹی گئی تھی۔	براہ کرم روزانہ ریکارڈ اپ ڈیٹ کریں۔	*لٹھے	*ریکارڈ	D
558 559 560 561 562 563	identity	n	"The identities did not change, given the circumstances."	the distinct personality of an individual regarded as a persisting entity	an operator that leaves unchanged the element on which it operates	personal identity identity individuality bundle theory of the self continuity of identity personal continuity self-identified self-identify	identity element identity operator identity function identity identity map identity transformation neutral element id identity relation f(x)=x identity mapping identity operation identity symmetry operator left-identity left and right identity left and right unity of ring left identity left identity and right identity left identity element multiplicative identity right identity right identity element two-sided identity			She struggled to maintain her identity.	The number one serves as the identity.	اس نے اپنی شناخت برقرار رکھنے کے لیے جدوجہد کی۔	نمبر ایک شناخت کے طور پر کام کرتا ہے.	شناخت	شناخت	N
564 565 566 567 568 569	trailer	n	That trailer is good to look at.	an advertisement consisting of short scenes from a motion picture that will appear in the near future	a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy	trailer preview prevue film previews announcement trailer boektrailer boektrailers book trailer book video book videos bookpeek bookshort booktrailer bookvideo buchtrailer cinematic book trailer cinematic book trailers film preview film trailer film trailers game trailer green band litvid movie trailer movie trailers peek-a-book previewman previews of coming attractions red-band red-band trailers red band red band trailer red band trailers theatrical trailer video game trailer vidlit yellow band	trailer house trailer house trailers			I watched the new movie trailer online.	They traveled cross-country in their trailer.	میں نے نئی فلم کا ٹریلر آن لائن دیکھا.	انہوں نے اپنے ٹریلر میں ملک بھر کا سفر کیا۔	ٹریلر	ٹریلر	N
570 571 572 573 574 575	trailer	n	She watched the trailer carefully.	an advertisement consisting of short scenes from a motion picture that will appear in the near future	a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy	trailer preview prevue film previews announcement trailer boektrailer boektrailers book trailer book video book videos bookpeek bookshort booktrailer bookvideo buchtrailer cinematic book trailer cinematic book trailers film preview film trailer film trailers game trailer green band litvid movie trailer movie trailers peek-a-book previewman previews of coming attractions red-band red-band trailers red band red band trailer red band trailers theatrical trailer video game trailer vidlit yellow band	trailer house trailer house trailers			I watched the new movie trailer online.	They traveled cross-country in their trailer.	میں نے نئی فلم کا ٹریلر آن لائن دیکھا.	انہوں نے اپنے ٹریلر میں ملک بھر کا سفر کیا۔	ٹریلر	ٹریلر	N
576 577 578 579 580 581	trailer	n	"At the drive-in movie, they looked at the trailer in front of them."	an advertisement consisting of short scenes from a motion picture that will appear in the near future	a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy	trailer preview prevue film previews announcement trailer boektrailer boektrailers book trailer book video book videos bookpeek bookshort booktrailer bookvideo buchtrailer cinematic book trailer cinematic book trailers film preview film trailer film trailers game trailer green band litvid movie trailer movie trailers peek-a-book previewman previews of coming attractions red-band red-band trailers red band red band trailer red band trailers theatrical trailer video game trailer vidlit yellow band	trailer house trailer house trailers			I watched the new movie trailer online.	They traveled cross-country in their trailer.	میں نے نئی فلم کا ٹریلر آن لائن دیکھا.	انہوں نے اپنے ٹریلر میں ملک بھر کا سفر کیا۔	ٹریلر	ٹریلر	N
582 583 584 585 586 587	trailer	n	She really didn't want to go to the trailer tonight.	an advertisement consisting of short scenes from a motion picture that will appear in the near future	a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy	trailer preview prevue film previews announcement trailer boektrailer boektrailers book trailer book video book videos bookpeek bookshort booktrailer bookvideo buchtrailer cinematic book trailer cinematic book trailers film preview film trailer film trailers game trailer green band litvid movie trailer movie trailers peek-a-book previewman previews of coming attractions red-band red-band trailers red band red band trailer red band trailers theatrical trailer video game trailer vidlit yellow band	trailer house trailer house trailers			I watched the new movie trailer online.	They traveled cross-country in their trailer.	میں نے نئی فلم کا ٹریلر آن لائن دیکھا.	انہوں نے اپنے ٹریلر میں ملک بھر کا سفر کیا۔	ٹریلر	ٹریلر	N
